,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
53,-0.008838584,-0.023201734,0.038871996,-0.043750554,0.013328511,-0.12727185,0.22731356,0.024192024,-0.0010886781,0.0015427603,0.0020413094
54,-0.00798996,-0.021124931,0.019456798,0.013984962,0.0016164321,-0.18317024,0.10605299,0.037779924,0.002653464,0.0014893115,0.00059693767
55,-0.012669811,-0.0007366786,-0.017063651,0.026073484,-0.019202858,-0.10570587,-0.13950916,-0.0677065,0.005288587,-0.0020322558,-0.0014961247
56,-0.013721055,0.015465011,-0.055832937,0.013656961,-0.009629452,0.09254342,-0.18722099,0.024487672,0.0013668902,-0.0005824471,-0.0031536678
57,-0.045345515,0.02591956,-0.06849992,0.024422651,-0.0013048558,0.105198786,-0.0028197148,-0.010500236,-0.0011185812,0.00047155336,-0.0036166613
58,-0.03704348,0.031523988,-0.02628665,0.021426372,-0.002027479,0.07385114,0.10772227,0.008756961,-0.0034406164,-0.002463762,0.0012933919
59,-0.009114505,0.03461397,0.019495195,-0.00027425124,-0.008625799,0.09972702,0.18522938,0.023790117,-0.002132573,-0.0031428616,-0.0020417164
60,-0.014898126,0.02914693,0.039732296,-0.011084983,-0.0055017015,0.06971504,0.047626168,-0.03874728,0.0024184978,-0.0010068738,-0.0010547112
61,0.014396516,-0.01533964,0.036597535,-0.015526412,-0.0023544012,-0.11621714,-0.16685814,0.023153055,0.0024371296,0.0008113502,-0.003525689
62,0.02689959,-0.052108,0.01711299,-0.012852849,0.004486026,-0.24982727,-0.21965775,0.020943936,0.00076743093,0.00023737295,1.2959186e-05
63,0.031296812,-0.06403988,-0.010359185,0.00018935902,0.016788518,-0.110108815,-0.027439103,-0.037186984,-0.001031447,-0.0023489639,0.0024500622
64,0.036521878,-0.01276713,-0.025384959,0.0120858075,0.01169814,0.121231735,0.20311895,0.038138397,-0.00087410037,0.00027756166,-0.0008172942
65,0.023128765,0.036468778,0.005052112,0.003421538,0.001149367,0.24051563,0.12922789,-0.019773027,0.003659198,0.0035712582,0.0014445891
66,-0.007824179,0.03679388,0.018273756,-0.021425826,-0.006181671,0.13524278,-0.068893686,-0.028250007,-0.0016804915,0.0011341615,0.00013088013
67,-0.03466683,0.0126486635,0.004659478,-0.013818101,-0.014697738,-0.07923469,-0.06969869,0.044039037,-0.0027079864,0.0012961196,0.0048294947
68,-0.048139952,-0.018103354,-0.025388446,0.019405104,-0.010302724,-0.23310626,0.043516118,-0.034995846,-0.0024012846,0.0036292127,0.002570451
69,-0.018858548,-0.0034530347,-0.035211563,0.011110122,-0.013298382,-0.18533887,-0.002236708,0.011084087,-0.0022306556,0.0017414907,0.00022791533
70,0.013247669,0.025276393,-0.0068102926,0.0027780526,-0.004660507,0.0873127,-0.09427345,0.025634438,0.0013035634,3.0047595e-06,0.0022629453
71,0.031370778,0.007922836,0.014030002,-0.002669239,0.008731673,0.23512308,0.027931264,-0.044091024,0.0009808007,0.0010142941,0.0030993575
72,0.004436353,-0.03238379,0.0036180844,-0.0101819215,0.023251936,0.11247503,0.07452189,0.014308131,0.0009791572,0.0016727246,-0.0008561294
73,-0.0128273945,-0.038009048,0.002203079,-0.0029855757,0.015826046,-0.06310696,-0.045099404,-0.0020860247,-0.00078285194,-0.0020775967,-0.0055069937
74,-0.0012159462,-0.014846952,0.008598142,0.006719498,-0.0035678234,-0.13201316,-0.02269408,-0.032894753,-0.0002449783,-0.006424012,-0.0036773144
75,0.013409141,0.008746407,0.008356149,-0.00698857,-0.007212502,-0.08757388,0.025211038,0.031846676,0.0005281451,-0.005715097,-0.0009932755
76,0.013730744,0.013891014,0.014029482,-0.0075678113,0.003102287,-0.012464447,-0.01986666,0.04066526,0.0051508136,-0.0026189561,-0.0010025324
77,-0.02280198,0.016107244,-0.0017357301,0.014094743,0.008225025,0.13071977,0.024412178,-0.009387566,0.0049721044,0.0038360434,-0.002069219
78,-0.048723683,0.01192317,-0.0067916727,0.0128171,-0.0050996984,0.15193215,0.049235217,0.00074066914,-0.0029264793,0.00044686085,-0.0015353572
79,-0.017583529,0.007255593,-0.004084899,0.0036954533,-0.01442608,-0.00959642,-0.0015579616,-0.008138648,-0.002197058,-0.0002057728,0.0015539823
80,0.03496045,0.0038687107,-0.0056137694,-0.0025936756,-0.009510356,-0.14345348,-0.023439392,-0.01445994,-0.00016422613,0.0014328139,-0.00033863125
81,0.040430393,0.008718194,-0.0005148371,-0.010519179,0.0012322932,-0.1904793,-0.012061552,0.030814216,0.0001263747,0.0049828533,0.0011818233
82,0.013841498,-0.0032395667,-0.0032953646,-0.009115186,0.0030760742,0.03388504,0.011882238,-0.029793423,0.0025476906,0.00070205674,0.0004907011
83,-0.0024044446,-0.018513417,-0.010371921,0.0045141215,0.011983386,0.22484457,0.0044899657,0.021182925,-0.0008365625,-0.0016841927,0.00088778354
84,-0.009850909,-0.01912296,-0.0008210029,0.0032012167,0.0072908234,0.11959404,0.011976805,-0.014862371,0.0012239364,-0.00083141366,0.0036523063
85,-0.004912385,-0.013237531,0.009077829,-0.0047542513,-0.0011844406,-0.13492073,0.00802172,-0.014899372,0.0019203584,-9.765487e-05,0.00017566723
86,-0.014171617,-0.0063925134,0.0077260425,-0.0024955708,-0.0088279145,-0.20476002,-0.046653807,0.032396976,0.001042531,0.00012396208,-0.00017789273
87,-0.01927348,0.004110305,0.0074627856,0.0004632254,-0.006426073,0.021810977,-0.043814477,-0.027389469,0.0008848752,-0.0016129143,-0.0021527202
88,-0.010486669,0.018178307,0.0071574613,0.0060866387,0.0030539883,0.21056147,0.0029298686,0.0023759508,-0.0022553601,0.0004110286,-0.0012546278
89,0.0059669553,0.02737099,0.0015355597,0.022008326,0.013187244,0.041467313,0.033614453,0.012706862,-0.003742067,0.0011279326,-0.00012995733
